Date,XLF
1999-10-19,0.02103320
1999-10-20,0.01775511
1999-10-21,0.00488588
1999-10-22,0.04166606
1999-10-25,-0.00866947
1999-10-26,-0.01546453
1999-10-27,0.04918049
1999-10-28,0.07096247
1999-10-29,-0.00547026
1999-11-01,-0.01222477
1999-11-02,-0.00123951
1999-11-03,-0.00433768
1999-11-04,0.01182355
1999-11-05,0.02460014
1999-11-08,-0.00540076
1999-11-09,-0.01931186
1999-11-10,-0.01538385
1999-11-11,-0.00562820
1999-11-12,0.04337272
1999-11-15,-0.00060576
1999-11-16,0.02712796
1999-11-17,-0.02112687
1999-11-18,-0.00300048
1999-11-19,-0.01503208
1999-11-22,-0.00366115
1999-11-23,-0.01593335
1999-11-24,-0.01183186
1999-11-26,-0.00692775
1999-11-29,-0.02411372
1999-11-30,0.01690690
1999-12-01,-0.00767245
1999-12-02,0.00450722
1999-12-03,0.02373584
1999-12-06,-0.02694263
1999-12-07,-0.00193327
1999-12-08,-0.02387001
1999-12-09,0.01453836
1999-12-10,0.01759049
1999-12-13,-0.01152148
1999-12-14,-0.02396677
1999-12-15,-0.00265439
1999-12-16,-0.02195502
1999-12-17,0.00776954
1999-12-20,-0.00813039
1999-12-21,0.01912596
1999-12-22,0.00000000
1999-12-23,0.01608568
1999-12-27,-0.00791526
1999-12-28,-0.00399102
1999-12-29,0.01001410
1999-12-30,0.00462737
1999-12-31,0.00065684
2000-01-03,-0.03747464
2000-01-04,-0.04371519
2000-01-05,-0.00785839
2000-01-06,0.04391546
2000-01-07,0.01655164
2000-01-10,-0.01763734
2000-01-11,-0.01657448
2000-01-12,0.01966309
2000-01-13,0.03030294
2000-01-14,0.02339263
2000-01-18,-0.03330880
2000-01-19,-0.00338126
2000-01-20,-0.01830228
2000-01-21,-0.01243267
2000-01-24,-0.01817992
2000-01-25,0.01068054
2000-01-26,0.03735367
2000-01-27,0.01086942
2000-01-28,-0.03494578
2000-01-31,0.02785467
2000-02-01,0.00541978
2000-02-02,-0.01010845
2000-02-03,-0.00612556
2000-02-04,-0.01027503
2000-02-07,-0.01038160
2000-02-08,0.01118858
2000-02-09,-0.02351099
2000-02-10,-0.02762138
2000-02-11,0.00218624
2000-02-14,0.00872103
2000-02-15,0.00143839
2000-02-16,-0.02086248
2000-02-17,-0.01248883
2000-02-18,-0.03571470
2000-02-22,0.00925914
2000-02-23,-0.00382658
2000-02-24,-0.02071767
2000-02-25,-0.00626915
2000-02-28,0.03233269
2000-02-29,0.00687441
2000-03-01,0.01365956
2000-03-02,-0.00598794
2000-03-03,0.00903614
2000-03-06,-0.00970493
2000-03-07,-0.03014345
2000-03-08,-0.01165142
2000-03-09,0.00549884
2000-03-10,0.00312801
2000-03-13,0.01013637
2000-03-14,-0.00386225
2000-03-15,0.06119449
2000-03-16,0.08613402
2000-03-17,0.00029371
2000-03-20,-0.01888038
2000-03-21,0.03642901
2000-03-22,0.00861970
2000-03-23,0.03484462
2000-03-24,0.01143800
2000-03-27,-0.03266355
2000-03-28,0.00779239
2000-03-29,-0.00773214
2000-03-30,0.00194478
2000-03-31,0.00648369
2000-04-03,0.04829405
2000-04-04,-0.03992914
2000-04-05,-0.00767756
2000-04-06,0.01096403
2000-04-07,-0.02040832
2000-04-10,0.02864570
2000-04-11,0.01265812
2000-04-12,0.00437270
2000-04-13,-0.02613423
2000-04-14,-0.08115166
2000-04-17,0.00834536
2000-04-18,0.04000217
2000-04-19,-0.01326278
2000-04-20,0.01881729
2000-04-24,0.02374707
2000-04-25,0.03092750
2000-04-26,-0.01999960
2000-04-27,-0.02040832
2000-04-28,0.02083350
2000-05-01,-0.02232253
2000-05-02,-0.00978579
2000-05-03,-0.01778804
2000-05-04,-0.01542255
2000-05-05,0.00680997
2000-05-08,0.01962013
2000-05-09,-0.00265459
2000-05-10,-0.02661359
2000-05-11,0.03007567
2000-05-12,0.01128375
2000-05-15,0.04461966
2000-05-16,-0.00565680
2000-05-17,-0.01705289
2000-05-18,0.01285365
2000-05-19,-0.01776695
2000-05-22,0.01292037
2000-05-23,0.00637537
2000-05-24,0.01267466
2000-05-25,-0.02503167
2000-05-26,-0.00384901
2000-05-30,0.02061843
2000-05-31,0.01199195
2000-06-01,0.03306601
2000-06-02,0.04106284
2000-06-05,-0.02262281
2000-06-06,-0.02195749
2000-06-07,0.01456355
2000-06-08,-0.01674683
2000-06-09,-0.01703170
2000-06-12,0.00866162
2000-06-13,-0.00122528
2000-06-14,0.01719909
2000-06-15,-0.02355159
2000-06-16,-0.04680988
2000-06-19,0.02604195
2000-06-20,-0.01269082
2000-06-21,-0.00771158
2000-06-22,-0.00065044
2000-06-23,-0.00712687
2000-06-26,0.01566595
2000-06-27,0.00963710
2000-06-28,-0.00763835
2000-06-29,-0.00064032
2000-06-30,-0.02438808
2000-07-03,0.01842086
2000-07-05,0.01098111
2000-07-06,0.00766771
2000-07-07,0.01712196
2000-07-10,0.00249373
2000-07-11,0.00497533
2000-07-12,0.01422914
2000-07-13,-0.00976193
2000-07-14,0.01663737
2000-07-17,-0.01878913
2000-07-18,0.00185386
2000-07-19,-0.00369686
2000-07-20,0.02537009
2000-07-21,-0.00301678
2000-07-24,0.00605153
2000-07-25,0.00180589
2000-07-26,-0.00480464
2000-07-27,0.00301650
2000-07-28,-0.02166072
2000-07-31,0.01721994
2000-08-01,0.00665169
2000-08-02,-0.00120327
2000-08-03,0.02645824
2000-08-04,0.03866685
2000-08-07,0.00281897
2000-08-08,0.00000000
2000-08-09,-0.00674923
2000-08-10,-0.00566090
2000-08-11,0.01537326
2000-08-14,0.01290025
2000-08-15,-0.01827097
2000-08-16,-0.01184335
2000-08-17,0.01312468
2000-08-18,-0.00732304
2000-08-21,0.00794729
2000-08-22,0.01069545
2000-08-23,-0.01281056
2000-08-24,-0.00169387
