Date,PLAT
1997-10-10,0.0091015169194865700
1997-10-13,0.0115633672525439000
1997-10-14,-0.0096021947873798900
1997-10-15,0.0154662973222530000
1997-10-16,-0.0236417367583541000
1997-10-17,-0.0179278230500581000
1997-10-20,-0.0014224751066856900
1997-10-21,0.0102089268755936000
1997-10-22,-0.0101057579318449000
1997-10-23,0.0040360873694207400
1997-10-24,-0.0257744147552612000
1997-10-27,-0.0286407766990292000
1997-10-28,0.0094952523738132100
1997-10-29,-0.0032178217821782200
1997-10-30,0.0064564191705984700
1997-10-31,-0.0027140389834691100
1997-11-03,0.0056902523503217200
1997-11-04,-0.0019680196801967800
1997-11-05,-0.0029578506285432600
1997-11-06,-0.0234857849196539000
1997-11-07,-0.0151898734177215000
1997-11-10,-0.0041131105398458700
1997-11-11,0.0049044914816727100
1997-11-12,0.0043668122270741300
1997-11-13,-0.0109974424552430000
1997-11-14,-0.0069821567106284100
1997-11-17,0.0039062500000000000
1997-11-18,0.0189364461738002000
1997-11-19,0.0005091649694499710
1997-11-20,-0.0020356234096692300
1997-11-21,-0.0081591024987250900
1997-11-24,-0.0064267352185090100
1997-11-25,-0.0173350582147477000
1997-11-26,0.0092153765139546500
1997-12-01,0.0031307070180015600
1997-12-02,0.0104031209362809000
1997-12-03,-0.0072072072072072400
1997-12-04,-0.0121856365050557000
1997-12-05,0.0000000000000000000
1997-12-08,-0.0112860892388452000
1997-12-09,-0.0021237058667374900
1997-12-10,-0.0079808459696727500
1997-12-11,-0.0335210512201662000
1997-12-12,-0.0005549389567147680
1997-12-15,-0.0227651304830649000
1997-12-16,-0.0323863636363636000
1997-12-17,0.0393423370522608000
1997-12-18,0.0076271186440677300
1997-12-19,-0.0047659097280627900
1997-12-22,-0.0053521126760562900
1997-12-23,0.0053809119229679700
1997-12-24,0.0321126760563379000
1997-12-26,-0.0032205240174670900
1997-12-29,-0.0041618750342260500
1997-12-30,0.0024745669507837400
1997-12-31,0.0126165660998354000
1998-01-02,-0.0086673889490790400
1998-01-05,-0.0098360655737705900
1998-01-06,-0.0229028697571743000
1998-01-07,0.0194860208980514000
1998-01-08,-0.0038781163434902200
1998-01-09,0.0055617352614014700
1998-01-12,0.0000000000000000000
1998-01-13,0.0293141592920354000
1998-01-14,0.0424502955400323000
1998-01-15,0.0015463917525773100
1998-01-16,-0.0360267627380340000
1998-01-20,-0.0002669514148425640
1998-01-21,0.0106809078771695000
1998-01-22,0.0121532364597094000
1998-01-23,0.0002610284521011860
1998-01-26,-0.0015657620041752400
1998-01-27,0.0154208050182958000
1998-01-28,0.0056628056628056400
1998-01-29,-0.0076785257230611600
1998-01-30,0.0010317255610008400
1998-02-02,0.0100489564545219000
1998-02-03,-0.0147959183673469000
1998-02-04,0.0266701191092698000
1998-02-05,0.0070617906683481100
1998-02-06,-0.0070122714750814300
1998-02-09,-0.0219419924337957000
1998-02-10,0.0079938112429085400
1998-02-11,0.0000000000000000000
1998-02-12,-0.0063954975697109200
1998-02-13,-0.0012873326467559600
1998-02-17,-0.0183036865171435000
1998-02-18,-0.0081407563025210900
1998-02-19,0.0164151442944136000
1998-02-20,-0.0122427715550925000
1998-02-23,-0.0145042194092827000
1998-02-24,0.0002675943270002980
1998-02-25,0.0165864098448367000
1998-02-26,0.0068421052631579800
1998-02-27,0.0026136957658129400
1998-03-02,0.0114702815432741000
1998-03-03,-0.0103092783505154000
1998-03-04,0.0013020833333332600
1998-03-05,-0.0075422626788035400
1998-03-06,-0.0060272536687631100
1998-03-09,0.0089638808331136100
1998-03-10,0.0151554742618238000
1998-03-11,-0.0033462033462033900
1998-03-12,0.0018078512396693100
1998-03-13,0.0108275328692964000
1998-03-16,0.0265238459576638000
1998-03-17,-0.0178881987577639000
1998-03-18,0.0346572223627624000
1998-03-19,0.0009779951100243880
1998-03-20,0.0070835368832438100
1998-03-23,0.0230414746543779000
1998-03-24,-0.0151730678046468000
1998-03-25,-0.0209436687530091000
1998-03-26,0.0219818047701008000
1998-03-27,-0.0167452603214320000
1998-03-30,-0.0090046001761769900
1998-03-31,-0.0002469135802469770
1998-04-01,-0.0009878982464806010
1998-04-02,-0.0024721878862793400
1998-04-03,0.0203221809169765000
1998-04-06,-0.0017002671848432800
1998-04-07,0.0036496350364962900
1998-04-08,0.0067878787878787900
1998-04-09,0.0089092222489766100
1998-04-13,0.0121718377088307000
1998-04-14,0.0117896722471116000
1998-04-15,-0.0261011419249593000
1998-04-16,-0.0220148360851878000
1998-04-17,0.0022021042329338800
1998-04-20,0.0153808593749998000
1998-04-21,0.0024044241404184200
1998-04-22,0.0091148956584312700
1998-04-23,-0.0114095555027336000
1998-04-24,-0.0146669872565520000
1998-04-27,-0.0043923865300146100
1998-04-28,-0.0098039215686274200
1998-04-29,0.0017326732673266200
1998-04-30,-0.0106251544353843000
1998-05-01,-0.0172327672327672000
1998-05-04,0.0038119440914865500
1998-05-05,0.0075949367088608000
1998-05-06,-0.0075376884422110300
1998-05-07,-0.0035443037974682800
1998-05-08,0.0060975609756097600
1998-05-11,-0.0164141414141414000
1998-05-12,-0.0059050064184852400
1998-05-13,0.0395144628099173000
1998-05-14,-0.0047204968944099000
1998-05-15,0.0107338991512729000
1998-05-18,-0.0251914052852555000
1998-05-19,-0.0060805675196351500
1998-05-20,-0.0295692072393577000
1998-05-21,0.0060415024954032500
1998-05-22,-0.0112271540469974000
1998-05-26,0.0026406126221283400
1998-05-27,-0.0147484856465629000
1998-05-28,-0.0184442662389737000
1998-05-29,0.0027233115468410200
1998-06-01,-0.0133079847908745000
