Date,XLY
1999-09-29,-0.0072416222
1999-09-30,0.0145900237
1999-10-01,0.0053919928
1999-10-04,0.0321816837
1999-10-05,0.0017313313
1999-10-06,0.0109514039
1999-10-07,-0.0028502989
1999-10-08,0.0285878890
1999-10-11,0.0072258876
1999-10-12,-0.0204193606
1999-10-13,-0.0118311543
1999-10-14,-0.0142533871
1999-10-15,-0.0254480471
1999-10-18,0.0065285246
1999-10-19,0.0100234401
1999-10-20,0.0175132903
1999-10-21,-0.0086059735
1999-10-22,0.0260412411
1999-10-25,-0.0174844719
1999-10-26,-0.0246838422
1999-10-27,0.0029427588
1999-10-28,0.0375584167
1999-10-29,0.0277151996
1999-11-01,-0.0071545749
1999-11-02,-0.0072062215
1999-11-03,-0.0083753290
1999-11-04,0.0123874747
1999-11-05,0.0066738177
1999-11-08,-0.0033146076
1999-11-09,-0.0105325255
1999-11-10,0.0039218529
1999-11-11,0.0022317683
1999-11-12,0.0233856003
1999-11-15,0.0016319242
1999-11-16,0.0043454845
1999-11-17,-0.0086534096
1999-11-18,0.0043644945
1999-11-19,-0.0092341160
1999-11-22,-0.0115126174
1999-11-23,-0.0038829672
1999-11-24,0.0055686870
1999-11-26,0.0121809803
1999-11-29,0.0087528632
1999-11-30,-0.0140994605
1999-12-01,0.0121007580
1999-12-02,-0.0043473616
1999-12-03,0.0114623371
1999-12-06,0.0016188015
1999-12-07,-0.0167024857
1999-12-08,-0.0054785127
1999-12-09,-0.0016533615
1999-12-10,0.0275937667
1999-12-13,0.0300753586
1999-12-14,-0.0130347645
1999-12-15,0.0047542562
1999-12-16,0.0220825125
1999-12-17,-0.0049279634
1999-12-20,-0.0289858154
1999-12-21,0.0042641188
1999-12-22,0.0021233071
1999-12-23,0.0195972521
1999-12-27,0.0098706550
1999-12-28,0.0102876118
1999-12-29,0.0040737182
1999-12-30,-0.0030427698
1999-12-31,0.0111906681
2000-01-03,-0.0301810907
2000-01-04,-0.0300831428
2000-01-05,-0.0122993003
2000-01-06,0.0113693833
2000-01-07,0.0471091291
2000-01-10,-0.0051123949
2000-01-11,-0.0056524451
2000-01-12,-0.0056845351
2000-01-13,0.0051972117
2000-01-14,-0.0025856301
2000-01-18,-0.0057021766
2000-01-19,-0.0020856248
2000-01-20,-0.0135841759
2000-01-21,-0.0206568490
2000-01-24,-0.0373172032
2000-01-25,0.0061800370
2000-01-26,0.0072582047
2000-01-27,-0.0027710149
2000-01-28,-0.0394667122
2000-01-31,0.0075224996
2000-02-01,0.0361865086
2000-02-02,-0.0066515922
2000-02-03,0.0039065622
2000-02-04,-0.0016682716
2000-02-07,-0.0211581234
2000-02-08,0.0227532335
2000-02-09,-0.0166853035
2000-02-10,-0.0090493307
2000-02-11,-0.0142696158
2000-02-14,0.0052112713
2000-02-15,0.0023041391
